id,input_text,Frame,tag
135731,Research shows that effectively conserving key areas is an key tool to keep stocks healthy while also protecting other ocean life,Solution Frame,0
32933,Pack a few water bottles and granola bars in preparation for a traffic jam on the evacuation route,Solution Frame,0
4639,So we just tweaked the method here and there and then eureka we got an awesome 3D map,Solution Frame,0
102258,Assistance can include grants for temporary housing and home repairs lowcost loans to cover uninsured property loses and other programs to help individuals and business owners recover from the effects of the disaster a White House statement said,Solution Frame,0
38576,The agency also urged a series of structural longerterm changes including electric heat pumps and prioritizing of electric vehicles,Solution Frame,0
35250,Renters forced out of their homes may qualify for help from FEMA,Solution Frame,0
29226,To help close the gap White House officials have vowed additional policies such as new regulations on tailpipe emissions but they have also said that individual states must take further action,Solution Frame,0
61649,Wind turbines can be equipped with heaters and other devices so that they can operate in icy conditions  as is often done in the upper Midwest where cold weather is more common,Solution Frame,0
131640,The plan he added is worthwhile because of its benefits for public transit whose health is crucial for luring people away from private vehicles,Solution Frame,0
18308,Measures enacted under the Biden Administration offer major incentives to mining companies and processing facilities to do their work domestically,Solution Frame,0
85486,She said she still had a lot of hope that we are capable of solving the climate crisis,Solution Frame,0
98840,The United States could set up programs to start testing and deploying carbon removal methods that look ready to go such as negative emissions biomass plants new forest management techniques or carbon farming programs,Solution Frame,0
46001,But scientists are telling us that we are likely going to need to remove billions of tons of carbon dioxide from the atmosphere by 2050 if we want to avoid the worst impacts of climate change,Solution Frame,0
5625,Whats important moving forward is not throwing our hands up in the air but to be looking out for one another,Solution Frame,0
23136,Instead she said after a year of record storms floods fires and droughts nations must do the hard work of cutting carbon dioxide methane and other gases that are trapping heat in the atmosphere,Solution Frame,0
110073,It then aims to harness recent advances in cloudbased supercomputing to combine that data with the latest climate model projections,Solution Frame,0
85462,She took a deep dive into possible solutions to partisan deadlock and reviewed the players in the diffuse field known as democracy reform Small groups that push for changes in the electoral system,Solution Frame,0
54140,And it includes 47 billion to help communities become more resilient to disasters and severe weather caused by a warming planet,Solution Frame,0
73766,California previously committed to buying only electric public transit buses by 2029 and to turn the entire bus fleet electric by 2040,Solution Frame,0
39152,Since 2010 the continent has made major investments in renewable energy and efficiency measures that have helped reduce its consumption of natural gas,Solution Frame,0
15006,Still reforestation projects have created a buzz in the northern Amazon where companies are rushing to buy up big plots of land with restoration potential,Solution Frame,0
90431,The new campaign called Beyond Carbon is designed to help eliminate coal by focusing on state and local governments,Solution Frame,0
6396,Get notified about extreme weather before it happens with custom alerts for places in the U,Solution Frame,0
31138,To scale up adoption globally governments will need to urge their use in order to protect the health of their people,Solution Frame,0
14704,But requiring new homes to install electric stoves which the study found had virtually no harmful emissions made sense he said,Solution Frame,0
78516,Delta Air Lines announced in February that it would invest 1 billion over the next decade on technologies to help the company become carbon neutral,Solution Frame,0
50793,Some experts say heat waves should get names as hurricanes do to raise awareness of their dangers,Solution Frame,0
115671,There are steps that utilities can take to protect their power grids from storm damage,Solution Frame,0
82913,That is why were moving forward to ensure that the science supporting agency decisions is transparent and available for evaluation by the public and stakeholders,Solution Frame,0
69312,So even as nations cut emissions they will need to accelerate efforts to adapt to the climate change they can no longer avoid,Solution Frame,0
123327,She also supported efforts to replace lead water pipes and promoted measures to help agriculture become more resilient to drought,Solution Frame,0
48323,The department says its able to address that threat but doesnt go into specifics,Solution Frame,0
79578,This is a less disruptive way to transition to a renewable future he said noting that hundreds of jobs could be lost if the plant closed today,Solution Frame,0
66525,Get the latest news about climate change plus tips on how you can help,Solution Frame,0
67214,He estimated it would probably take 500 to 1000 stations such as barges or platforms spraying water or a smaller number of moving vessels to cover the entire reef,Solution Frame,0
93861,But there are textile companies that will take clothing rugs and anything that is made out of fabric and reuse it and recycle it he said,Solution Frame,0
115567,The attached proposal eliminates date restrictions that the agency had imposed for submitting an exploration plan and moves to allow them in any given year,Solution Frame,0
20120,The peak destruction of the global ozone layer is behind us due to the effectiveness of the control measures of the Montreal Protocol that have been adopted by all nations,Solution Frame,0
15671,With all the decisions that are being made for climate change trying to address the climate crisis Ms,Solution Frame,0
71584,The Climate Equity Act would create a dedicated Office of Climate and Environmental Justice Accountability within the White House and require the federal government to rate the effect that every environmental legislation or regulation would have on lowincome communities,Solution Frame,0
575,A halfdozen farmers in the United States are trying the product on their soy fields,Solution Frame,0
86398,Eliminating inefficient bulbs alone would save electricity equivalent to the output of at least 25 large power plants enough to power all homes in New Jersey and Pennsylvania according to an estimate by the Natural Resources Defense Council,Solution Frame,0
77444,But I am more than confident that we know enough to be able to safeguard health care workers and health care volunteers,Solution Frame,0
128,Canal authorities have been exploring ways to desalinate portions of the lake,Solution Frame,0
136728,Uruguay has pivoted in less than a decade to generating almost all its electricity from a diverse mix of renewables,Solution Frame,0
95156,But like the Lancet report it too suggested that reducing the carbon footprint of food would also require rapid changes in farming methods to allow farmers and ranchers to grow far more food on existing agricultural lands while cutting emissions,Solution Frame,0
27463,It doesnt only save money it also brings benefits for human health and biodiversity,Solution Frame,0
54940,The solutions By protecting and restoring nature the report said we can safeguard biodiversity help limit warming improve human well being and even find protection from the consequences of climate change like intensified flooding and storms,Solution Frame,0
10883,Thats where the American Rescue Plan the Inflation Reduction Act and the Bipartisan Infrastructure Law come in,Solution Frame,0
27439,This responds to a lot of criticism people have been making of climate giving which is that it needs a bit more political bite and you need to invest in political solutions to make progress Callahan said,Solution Frame,0
50179,And it means increasing the capacity of the sewer system to handle a greater volume of water,Solution Frame,0
89038,The idea is that because aquifers or large bodies of permeable rock that contain groundwater get depleted during droughts cities should work to refill them during times of significant rainfall,Solution Frame,0
98243,What it should be is a call to Republicans to figure out a way to offer a solution consistent with Republican values Mr,Solution Frame,0
62973,Get the latest news about climate change plus tips on how you can help,Solution Frame,0
67897,The solutions are not small or easy but they exist scientists say,Solution Frame,0
61548,Waite said including improving productivity reducing deforestation and shifting food consumption to more climatefriendly diets,Solution Frame,0
65787,Kerry will be charged with persuading other nations to take increasingly bold steps to significantly cut their carbondioxide emissions by 2030,Solution Frame,0
65247,The team is in conversations with the tire industry and hopes manufacturers will be willing to look for a replacement preservative,Solution Frame,0
32855,Todays ruling makes it even more imperative that California and other states succeed in our efforts to combat the climate crisis said Gavin Newsom the Democratic governor of California,Solution Frame,0
76634,He began dovetailing concerns about climate change with his promotion of renewable energy,Solution Frame,0
99347,If we start moving very swiftly in the next 20 years we might able to avoid 2 degrees but if we dont do that were in for to changes in the Earths system that we cant begin to understand in depth,Solution Frame,0
74162,Get the latest news about climate change plus tips on how you can help,Solution Frame,0
47255,This is the first ever tax overhaul that ties cash incentives to actually reducing emissions and it says the more you reduce emissions the bigger your savings,Solution Frame,0
84890,Im pleased that todays announced plan will help address the hollowing out of the Renewable Fuel Standard she said referring to the federal rule on ethanol requirements,Solution Frame,0
134446,In lieu of releasing balloons conservationists are urging people to instead plant a tree or toss flower petals into the water,Solution Frame,0
17968,Look good feel good Going vintage renting or just digging into your own wardrobe are the most sustainable ways of dressing for a fancy party,Solution Frame,0
85050,To that end the governing Conservative Party announced this week that it would require new carbon emissions standards for new homes built in Britain,Solution Frame,0
64539,By midcentury both studies found at least 90 percent of the nations electricity could feasibly come from renewable sources,Solution Frame,0
44965,Vulnerable countries insist that rich nations should grant them a share of proceeds from carbon market transactions to help them build resilience to climate change,Solution Frame,0
86275,To get around this problem power companies came up with renewable energy certificates,Solution Frame,0
122745,He and his partner Brooke Giard 34 had resolved to extend their growing season after last years flooding to help moderate the impact of lost crops,Solution Frame,0
10118,Scientists say that could help to cool the planet and to fight the effects of global warming,Solution Frame,0
114964,and the Interior Department remain unfilled and that a lack of trust exists between political appointees and career staff members,Problem Frame,1
112461,At a minimum it presents an appearance of impropriety to which you as administrator should never be a party,Problem Frame,1
57274,released a separate report that found that 13 refineries across the United States had released elevated levels of benzene another harmful pollutant into mostly minority and lower income neighborhoods in 2020,Problem Frame,1
74731,Only 2016 and 2017 were worse when heat and drought led to record fires and deforestation especially in Brazil,Problem Frame,1
80218,It not only rolls back key portions of the 2015 rule that had guaranteed protections under the 1972 Clean Water Act to certain wetlands and streams that run intermittently or run temporarily underground but also relieves landowners of the need to seek permits that the Environmental Protection Agency had considered on a casebycase basis before the Obama rule,Problem Frame,1
111942,The Great Barrier Reef had two backtoback bleaching events that killed just about half of the corals along the length of the barrier reef,Problem Frame,1
127053,Chief Looking Horse who is also the 19th keeper of the artifact known as the sacred White Buffalo Calf Woman Pipe and Bundle said that the woman said to the people the next time I stand upon the Earth as a white buffalo calf that nothing will be good no more,Problem Frame,1
15110,And as climate change affects snowfall patterns and the future likelihood of avalanches the goats will need to keep an eye on that too,Problem Frame,1
57491,A growing body of research has shown that these oil and gas emissions are larger than previously thought and a likely driver of the global increase of methane in the atmosphere,Problem Frame,1
60027,Ship strikes as they are known are among the leading causes of death for whales and 2018 and 2019 were the worst years on record for collisions on the West Coast with 27 total resulting in 22 deaths according to the National Oceanic and Atmospheric Administration,Problem Frame,1
84024,This latest attack shows that the White House has its head in the sand when it comes to climate change and serves no purpose other than continued political retribution he added,Problem Frame,1
51495,The rate of sea level rise has roughly doubled since 2006,Problem Frame,1
36354,The International Energy Agency a group created to ensure a stable worldwide energy market said last year that countries must immediately stop approving new fossil fuel projects,Problem Frame,1
115109,Without one he said the agency would be vulnerable to lawsuits for not regulating carbon dioxide,Problem Frame,1
80624,Trump has proposed nearly 100 environmental rollbacks including weakening protections for endangered species relaxing rules that limit emissions from coal plants and blocking the phaseout of older incandescent light bulbs,Problem Frame,1
89522,Every heat wave occurring in Europe today is made more likely and more intense by humaninduced climate change,Problem Frame,1
52911,One of the things that burn bosses in California including myself are facing right now is this disconnect between perceived risk and actual risk and that translates into difficulty in getting insurance for what we do,Problem Frame,1
43719,Research focused on other species indicates that wildlife feeding while well intentioned can disrupt migration patterns spread disease and lead to a cascade of other unintended consequences,Problem Frame,1
24952,Scientists urban planners and residents say not enough has been done,Problem Frame,1
81425,Sex determination in sea turtles depends on temperatures so with the shifting climate toward warming temperatures in theory you could have a turtle population thats increasingly female and that presents obvious problems over time Dr,Problem Frame,1
101162,But being maladapted to heat is mostly a problem for nonathletes Dr,Problem Frame,1
91645,The omission is especially notable because scientists have warned that the Arctic is heating up far faster than the world average because of rising greenhouse gas emissions,Problem Frame,1
42545,With prices soaring on the global market lithium mining could raise huge sums of money for his government even as it carries yet unknown risks to the ecology of the area,Problem Frame,1
131442,Last month the federal government said several types of PFAS must be removed from the drinking water of hundreds of millions of Americans,Problem Frame,1
17169,And when companies finally get their projects reviewed they often face another hurdle the local grid is at capacity and they are required to spend much more than they planned for new transmission lines and other upgrades,Problem Frame,1
80753,Around the country from New Jersey to Massachusetts Virginia to Oregon education centers and marine laboratories like this one are bracing against rising seas and a changing climate,Problem Frame,1
112355,Scientists may not be able to settle on a precise answer for decades to come making the jobs of coastal planners that much harder,Problem Frame,1
106329,Pruitts top aides taking steps to block the public from his appearances,Problem Frame,1
29650,The climate crisis is going to unfold on the majority of young people,Problem Frame,1
111550,Barrasso again called on the agency to withdraw the rule calling it unreasonably burdensome,Problem Frame,1
2029,Were seeing labor shortages on construction projects in the United States and its a bottleneck to the buildout of solar farms said Andrs Gluski chief executive of AES in an interview,Problem Frame,1
